https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1626134400000,2021-07-13 00:00:00,ETH/USDT,2031.57000000,2047.35000000,1918.00000000,1940.15000000,647388.24969000,1287490852.46149500,902810
1626048000000,2021-07-12 00:00:00,ETH/USDT,2140.54000000,2167.83000000,2006.68000000,2031.58000000,540630.10742000,1126108847.37136920,725803
1625961600000,2021-07-11 00:00:00,ETH/USDT,2110.68000000,2174.00000000,2081.02000000,2140.45000000,342294.40302000,727911535.26899800,479138
1625875200000,2021-07-10 00:00:00,ETH/USDT,2146.99000000,2194.82000000,2074.16000000,2110.69000000,499071.85904000,1058023794.51142400,646476
1625788800000,2021-07-09 00:00:00,ETH/USDT,2116.32000000,2189.40000000,2046.51000000,2146.99000000,738611.36304000,1568646237.31099510,867603
1625702400000,2021-07-08 00:00:00,ETH/USDT,2316.25000000,2325.60000000,2084.79000000,2116.33000000,880265.04124000,1926184139.30984800,1234614
1625616000000,2021-07-07 00:00:00,ETH/USDT,2322.51000000,2409.00000000,2291.90000000,2316.57000000,666501.35572000,1570553094.63757130,1113578
1625529600000,2021-07-06 00:00:00,ETH/USDT,2196.85000000,2350.00000000,2193.00000000,2322.50000000,785330.17152000,1803108194.46840940,1326163
1625443200000,2021-07-05 00:00:00,ETH/USDT,2322.69000000,2324.64000000,2157.32000000,2196.53000000,781806.31605000,1753862827.37910470,1264204
1625356800000,2021-07-04 00:00:00,ETH/USDT,2226.99000000,2389.93000000,2189.58000000,2322.69000000,590656.25069000,1365904900.34990690,1204553
1625270400000,2021-07-03 00:00:00,ETH/USDT,2153.95000000,2240.00000000,2112.01000000,2226.99000000,569264.80100000,1248888441.25315360,922576
1625184000000,2021-07-02 00:00:00,ETH/USDT,2106.41000000,2160.00000000,2018.50000000,2154.13000000,672282.37476000,1397269246.26645640,862561
1625097600000,2021-07-01 00:00:00,ETH/USDT,2275.68000000,2275.93000000,2073.12000000,2106.41000000,787865.25137000,1688043308.12725720,1414518
1625011200000,2021-06-30 00:00:00,ETH/USDT,2165.46000000,2287.78000000,2087.99000000,2275.68000000,910583.60320000,1973676680.87312690,1464112
1624924800000,2021-06-29 00:00:00,ETH/USDT,2084.42000000,2245.00000000,2073.57000000,2165.33000000,831257.23277000,1804733069.98298930,1536044
1624838400000,2021-06-28 00:00:00,ETH/USDT,1982.27000000,2145.00000000,1960.52000000,2084.41000000,1044244.68308000,2138998047.87762790,1657087
1624752000000,2021-06-27 00:00:00,ETH/USDT,1829.84000000,1984.50000000,1804.26000000,1982.28000000,696055.79307000,1299521992.07179920,1091206
1624665600000,2021-06-26 00:00:00,ETH/USDT,1808.97000000,1852.80000000,1717.32000000,1829.64000000,832315.14904000,1478550576.56464500,923226
1624579200000,2021-06-25 00:00:00,ETH/USDT,1989.53000000,2019.99000000,1791.22000000,1808.82000000,858808.54767000,1612556879.10728130,1041338
1624492800000,2021-06-24 00:00:00,ETH/USDT,1967.95000000,2036.61000000,1884.79000000,1989.52000000,701231.67478000,1377799766.49945500,833337
1624406400000,2021-06-23 00:00:00,ETH/USDT,1879.29000000,2045.00000000,1821.95000000,1968.14000000,918612.30494000,1817518228.91007080,1141790
1624320000000,2021-06-22 00:00:00,ETH/USDT,1885.27000000,1998.00000000,1700.48000000,1879.28000000,1695338.08052000,3158928001.13114460,1856357
1624233600000,2021-06-21 00:00:00,ETH/USDT,2243.49000000,2260.16000000,1865.54000000,1885.49000000,1629819.66576000,3252129521.67750420,2014010
1624147200000,2021-06-20 00:00:00,ETH/USDT,2165.34000000,2280.01000000,2040.68000000,2243.47000000,743883.64741000,1599009750.52690320,1035537
1624060800000,2021-06-19 00:00:00,ETH/USDT,2234.09000000,2278.82000000,2161.67000000,2164.67000000,496872.24997000,1104923869.41859910,763820
